Episode Number,Chunk Number,Duration (seconds),Transcription
1,1,30.0,e kitshedimosetso ya kowid nauitlisediwake motswedinya femo konkabokamooso oydankira leboga ee awa gotlolaponsokgaki gotlho le mnokifian hela gaifi ke tharaleke khohiti ee kapa ko na lebathrbabana le mog loofaamaengknn wabathbahonale gonale ke go botsa ka go gothola yanaka gore kwa unibesiting ya kwastarlanbosh kwa kape tawn
1,2,30.0,aba buakganya gore go na le ka mogokakgonango bwonaka ten gore segotlholose ke sa kofid  a ko mpolelle gore ga temfan emon thonane dipatitepediditlhatedtjulenkoo salenasinbeshidaitaanape balenne ba lebellepe gore go birika aeriditanteone bo a thetisa ntehnolody nasin len egobuwa gore mogwakgelo wa khoketmankin koo yang ne mogwakelo e le mogwakgelofela o meng o yangne bitana ebaba
1,3,30.0,lts go bontlha gore baleban ba birisa tekhnoloji e go bona gore ke mogotlelo ofin o kare motho o nale o tshwategila ka kohid  ne ke ofen o renga a tshategaka kohid  mme kanako e hetlegolebelelepe  dipahitse teritsa mo athekhabera leko di nag edn mo dikontinenting kee ratar ne gare lebeleke e ditan ya mo afrika e dita stakho yona takhod e ka bothutanyana it
1,4,30.0,kesar kowed nfatafika e ukwelelang mo e mokhwa om mogotlelo o diragalankaone itaia batho ba ba ne ba le moyonek methothali e u bautella goremo ba barekhoda e khaputa  ba gotlhola nne ba dirisha difoni tsa bonene ga ba fepaec ka dinakopedini morag ebi le morago gabatlhatagila ka kohid  nne ed dikgatisatsaidikenya moyane tekhnolojy eo go bonta gore
1,5,30.0,kint ifitafita ya megotlhelo ipanayan oitanape baatlhalofa gore e ga ba sekrile bikgatisote ka batho ba gotlhola ba dibaya e ba ntlha po batho badidinekenpeng ba di kopantshagela mmogotlhelo otle o gore ba bona gore e yone tekhnoloji e ya bona ekhon a gore mogatheloke yan mne moragogatleo ipai ga morago ga dikgatisitsatseo bataya en kgwatiwa mokgwatlheleyoy
1,6,30.0,l eya analaidiwa go bona gor gidiragalang kobontsha gore e motanape o mongwa bona we lendota phaha o bontla gore are batlere didikgatisiseteni diabontlha gore mogotlolo wa kofid  o ttp shota gore o mokhutswan ka tenp angar lebelletemotlho ottnan n mogare wa kohid natled ke ka lebakala gore e mangar ka gopolale gore babatlihihikapabaitana pen bare tlh
1,7,30.0,anka mogare o wa kohid  mogare a kire o o nna momahatleng nne go ra go r gaona ommo wa kapa o fidini en ke gore o ko nokgotlola sebaka bya ka o ka gotlhola ga o hina  mogare wa kohid nne gw  bontla gore ga o tlhaitifeleka kohid kgokholo wago o ka sinne motelele klata wa motho o sa thaefa gang ee yone e baiditsa khop o dio klasifikation e diritiwang a ka ribu
1,8,30.0,aka gore ke tekhnoloji e brita ne ee baitanape ba bona gore e ka dirisiwa gore ete koded krinen mo dikhwedinpelate lante kya ka re bonagore drehntere le mo leroborobolle iana e baitanape ba ba banne babakehhelandaj eile hibare tsentse bale e b ba ba tlo a ga ahomakphone ap e e tla bathutang gore ie nne yone yone e ba ebipan thebe klarifaya ee gore e ta nna ap jaaka ep ennele
1,9,30.0,myak efana lewatapele kidintsere ditirisang mo difounintarona o kgo nogotlhola mmen baba tlo bona gore ana e ka thutha gore e di lalla mothogore ana mokgotlholo ananlone ke wa khositi kapa ke mo gotlolfela wa boletsibobenge mme ga rebua gapele baitanape ba bana gore ana kobira ba tlo bonalleng  epe ekagi bare geti baebone ne sense go l kgakanya kgakalanyanwa gore re bone epe e
1,10,30.0,epen mme gape e biritie ke batho go bona gore ana mogotlholokwa kobed monten kapagatwaonne tlanako e go tlhopaga gore dipatitiso dioketie diotie ke batho babandiphata go tlhopagadi diklghapiso pe lite go tswa moma afikha borwa ba ba tlhatigileleba ttiganggonne e o ka kgona go bona ga o ba tla go kanelayone dipatisipote o ka ya ko kofkat dot onlinec
1,11,30.0,o tiu jhti fti tot online mme o ka nna  patisipandekapa oka okata nna ya dipatisitote o thuta baisanapep ba gore bakgone bona gore mogokgelo wa koemaslin o berakayang mme ba bial gore sentle gotsa febaka gore  ba nkradkhatititeteo  ka napo efentle bata phalep ya bone sentle babatle bona gore ana e ka nnabatlibabanti bba bakan
1,12,30.0,enalangene e a kare aaoopola ga re ka gopola e mento gahari baisana ke ho ba tlhoka runa batho fela ba mo afrika borafela yanabareti gorre bathute gore babane dipatihitepee thapathatakabunti ga o ikwaditseta dipatisitetetlhonaleyana ga go na madi a wakrannye uthuta baitanape lele nya mo ahletha borago reko no bona el di dipatisiteke bitlha ka boleki bo bontlha bo bon kofid
1,13,30.0,go o ya koyana ko pebat online o tla bona gonale ye go blela gore ke in  sehe tiragalang gonne gore batsedirisa dikgapisisata go kweta iny kapauanluanlwan mme go botlhoka gore le bona re rokwete epanapebarona ke bathu ore ka batlhwisanpeng gore re bone gore ba bonye  disoluten ke dintlha go bontlha  ego go feleta kapagepa kobid krenin e nne bolo bonolo
1,14,30.0,e ka kamokho ihinbonolakanako eyne pane pakajiko enanya gotwgala rale bogatlhe e wenapon eee diape diatla yaanon go taeweji khohid eretse ere tshweerenee eye ere serae e ngana arepoyaagok ke porelenpeetshwantseyanongo nele epe go bona re gote earbonepeoeeekoit ke ao bathumpontso yanoe erethere kohetye le ga le go tsiamera lebogapore le
1,15,3.26,tnakwagago le ka mosotlhedirefala ialo
