Episode Number,Chunk Number,Duration (seconds),Transcription,transcription,
1,1,30,e kitshedimosetso ya kowid nauitlisediwake motswedinya femo konkabokamooso oydankira leboga ee awa gotlolaponsokgaki gotlho le mnokifian hela gaifi ke tharaleke khohiti ee kapa ko na lebathrbabana le mog loofaamaengknn wabathbahonale gonale ke go botsa ka go gothola yanaka gore kwa unibesiting ya kwastarlanbosh kwa kape tawn,"1. e
2. kitshedimosetso ya kowid nauitlisediwake
3. motswedinya femo konkabokamooso oydankira leboga ee awa gotlolaponsokgaki gotlho le mnokifian
4. hela gaifi ke tharaleke
5. khohiti ee kapa ko na lebathrbabana le mog loofa
6. amaengknn wabathbahonale gonale
7. ke go botsa ka go gothola yanaka gore kwa unibesiting ya kwastarlanbosh kwa kape tawn","1. Yes
2. the introduction of kowid nauitlisediwake
3. the Swedish firm femo konkabokamooso oydankira leboga ee awa gotlolaponsokgaki gotlho and mnokifian
4. hela gaifi is thraleke
5. This code or there is a problem with the code
6. Amaengknn wabathbahonale gonale
7. I would like to ask you out of the blue, where is the university of Kwastarlanbosh?"
1,2,30,aba buakganya gore go na le ka mogokakgonango bwonaka ten gore segotlholose ke sa kofid  a ko mpolelle gore ga temfan emon thonane dipatitepediditlhatedtjulenkoo salenasinbeshidaitaanape balenne ba lebellepe gore go birika aeriditanteone bo a thetisa ntehnolody nasin len egobuwa gore mogwakgelo wa khoketmankin koo yang ne mogwakelo e le mogwakgelofela o meng o yangne bitana ebaba,"1. aba buakganya gore go na le ka mogokakgonango bwonaka ten gore segotlholose ke sa kofid  a ko m
2. polelle gore ga temfan emon thonane dipatitepediditlhatedtjulenkoo salenasinbeshidaitaanape balenne
3. ba lebellepe gore go birika aeriditanteone bo a thetisa ntehnolody nasin len ego
4. buwa gore mogwakgelo wa khoketmankin koo yang ne mogwakelo e le mogwakgelofela o meng o yangne bitana ebaba","1. He explained that there is a conflict between the two so that the divorce is not difficult.
2. tell me that there is no temfan in the room
3. They expect that the air conditioning system is confusing the technology in this country
4. say that the koketmankin's girlfriend is going where the girlfriend is a girlfriend"
1,3,30,lts go bontlha gore baleban ba birisa tekhnoloji e go bona gore ke mogotlelo ofin o kare motho o nale o tshwategila ka kohid  ne ke ofen o renga a tshategaka kohid  mme kanako e hetlegolebelelepe  dipahitse teritsa mo athekhabera leko di nag edn mo dikontinenting kee ratar ne gare lebeleke e ditan ya mo afrika e dita stakho yona takhod e ka bothutanyana it,"1. lts go bontlha gore baleban ba birisa tekhnoloji e go bona gore ke mogotlelo ofin o kare motho o nale o tshwategi
2. la ka kohid  ne ke ofen o renga a tshategaka kohid  mme kanako e hetlegole
3. belelepe  dipahitse teritsa mo athekhabera leko di nag edn mo dikontinenting kee ratar ne gare
4. lebeleke
5. e ditan ya mo afrika e dita stakho yona takhod e ka bothutanyana it","1. Let's show that the opponents are using technology to see what kind of power a person has.
2. my kohid ne ke ofen o renga a tshategaka kohid and kanako it turned
3. Belexepah pahishte teritsa m athekhabera koko nag edn in the continents I like it in the middle
4. give birth
5. It's the same thing in Africa"
1,4,30,kesar kowed nfatafika e ukwelelang mo e mokhwa om mogotlelo o diragalankaone itaia batho ba ba ne ba le moyonek methothali e u bautella goremo ba barekhoda e khaputa  ba gotlhola nne ba dirisha difoni tsa bonene ga ba fepaec ka dinakopedini morag ebi le morago gabatlhatagila ka kohid  nne ed dikgatisatsaidikenya moyane tekhnolojy eo go bonta gore,"1. kesar kowed nfa
2. tafika e ukwelelang mo e mokhwa om mogotlelo o diragalankaone itaia batho ba ba ne ba le moyonek metho
3. thali e u bautella goremo ba barekhoda e khaputa  ba gotlhola nne ba dirisha difoni tsa bonene ga
4. ba fepae
5. c ka dinakopedini morag ebi le morago gabatlhatagila ka kohid  nne ed dikgatisatsaidike
6. nya moyane tekhnolojy eo go bonta gore","1. kesar kowed nfa
2. the army that is involved in the way that the people are doing
3. The thali tells you that the recorders are recording the four of the windows of the cell phones.
4. feed them
5. c with dinakopedini marag ebi and later gabatlatgila with kohid four ed katasatsaidike
6. use the technology to show that"
1,5,30,kint ifitafita ya megotlhelo ipanayan oitanape baatlhalofa gore e ga ba sekrile bikgatisote ka batho ba gotlhola ba dibaya e ba ntlha po batho badidinekenpeng ba di kopantshagela mmogotlhelo otle o gore ba bona gore e yone tekhnoloji e ya bona ekhon a gore mogatheloke yan mne moragogatleo ipai ga morago ga dikgatisitsatseo bataya en kgwatiwa mokgwatlheleyoy,"1. kint ifitafita ya megotlhelo ipanayan oitanape baatlhalofa
2. gore e ga ba sekrile bikgatisote ka batho ba gotlhola ba dibaya
3. e ba ntlha po batho badidinekenpeng ba di kopantshagela mmogotlhelo otle o gore ba bona gore e yone tekhnoloji e ya bona
4. ekhon a gore mogatheloke
5. yan mne moragogatleo ipai ga morago ga dikgatisitsatseo bataya
6. en kgwatiwa mokgwatlheleyoy","1. kint ifitatifata of mogolhelo ipanayan oitanap baalalofa
2. that they did not make a big deal about the people who are the ones who are the ones who are bad
3. It is the first time that people in the world of technology have put them together, and the end result is that they see that this is the technology for them.
4. Let it be said
5. This is the last one after the last few publications
6. It is used in all ways"
1,6,30,l eya analaidiwa go bona gor gidiragalang kobontsha gore e motanape o mongwa bona we lendota phaha o bontla gore are batlere didikgatisiseteni diabontlha gore mogotlolo wa kofid  o ttp shota gore o mokhutswan ka tenp angar lebelletemotlho ottnan n mogare wa kohid natled ke ka lebakala gore e mangar ka gopolale gore babatlihihikapabaitana pen bare tlh,"1. l eya analaidiwa go bona gor gidiragalang kobontsha gore e motanape o mongwa bona we lendota phaha o bontla
2. gore are batlere didikgatisiseteni diabontlha gore mogotlolo wa kofid  o ttp shota gore o mokhutswan
3. ka tenp angar lebelletemotlho ottnan n mogare wa kohid natled ke ka lebakala gore e mangar
4. ka gopolale
5. gore babatlihihikapabaitana pen bare tlh","1. It should be explained to them that it is possible to confirm that it is a real tape when it shows
2. that they should pay for the receipts that the coffee cup is short or short
3. In the middle of the night, the expectation is that it is because it is great.
4. I remember
5. that those who fight or fight with each other are tlh"
1,7,30,anka mogare o wa kohid  mogare a kire o o nna momahatleng nne go ra go r gaona ommo wa kapa o fidini en ke gore o ko nokgotlola sebaka bya ka o ka gotlhola ga o hina  mogare wa kohid nne gw  bontla gore ga o tlhaitifeleka kohid kgokholo wago o ka sinne motelele klata wa motho o sa thaefa gang ee yone e baiditsa khop o dio klasifikation e diritiwang a ka ribu,"1. anka mogare o wa kohid  mogare a kire o o nna momahatleng nne go ra go r gaona ommo wa kapa
2. o fidini en ke gore o ko nokgotlola sebaka bya ka o ka gotlhola ga o hina  mogare wa kohid nne gw
3. bontla gore ga o tlhaitifeleka kohid kgokholo wago
4. o ka sinne motelele klata wa motho o sa thae
5. fa
6. gang ee yone e baiditsa khop o dio klasifikation e diritiwang a ka ribu","1. hold the baby's hair while it is on the back of the head, or
2. What do you mean by taking my place?
3. Show that you are not confused about your faith
4. You can't wait for someone's letter without a tie
5. give
6. The same gang calls the khop o dio klasifikasi used in ribu"
1,8,30,aka gore ke tekhnoloji e brita ne ee baitanape ba bona gore e ka dirisiwa gore ete koded krinen mo dikhwedinpelate lante kya ka re bonagore drehntere le mo leroborobolle iana e baitanape ba ba banne babakehhelandaj eile hibare tsentse bale e b ba ba tlo a ga ahomakphone ap e e tla bathutang gore ie nne yone yone e ba ebipan thebe klarifaya ee gore e ta nna ap jaaka ep ennele,"1. aka gore ke tekhnoloji e brita ne ee baitanape ba bona gore e ka dirisiwa gore ete koded krinen mo dikhwe
2. dinpelate lante kya
3. ka re bonagore drehntere le mo leroborobolle iana e baitanape ba ba banne babake
4. hhelandaj eile hibare tsentse bale e b ba ba tlo a ga ahomakphone ap e e tla bathutang gore
5. ie
6. nne yone yone e ba ebipan thebe klarifa
7. ya
8. ee gore e ta nna ap jaaka ep ennele","1. I think that it is a new technology that the users see that it can be used to send coded videos to the public.
2. dinpelate lante kya
3. I said that they saw that Drehntere and Mo Lemorobolle were four of them.
4. hhelandaj eile hibare have entered these and they are going to go to the ahomakphone ap it will teach them that
5. ie
6. be the same one be ebipan thebe klarifa
7. go
8. Yes, it will be as before"
1,9,30,myak efana lewatapele kidintsere ditirisang mo difounintarona o kgo nogotlhola mmen baba tlo bona gore ana e ka thutha gore e di lalla mothogore ana mokgotlholo ananlone ke wa khositi kapa ke mo gotlolfela wa boletsibobenge mme ga rebua gapele baitanape ba bana gore ana kobira ba tlo bonalleng  epe ekagi bare geti baebone ne sense go l kgakanya kgakalanyanwa gore re bone epe e,"1. mya
2. k efana lewatapele kidintsere ditirisang mo difounintarona o kgo nogo
3. tlhola mmen baba tlo bona gore ana e ka thutha gore e di lalla mothogore ana mokgotlholo ananlone ke wa khositi kapa ke
4. mo gotlolfela wa boletsibobenge
5. mme ga rebua gapele baitanape ba bana gore ana kobira ba tlo bonalleng  epe ekagi bare geti baebone ne sense
6. go l kgakanya kgakalanyanwa gore re bone epe e","1. mya
2. How to use the keyboard in our desktops
3. let the mother know that she can move, that she is lying in wait for someone, that she is the owner of the bank or
4. the eldest son
5. and it was said again to the children's dancers that they were going to see what they were going to see.
6. to estimate the difference so that we can see which one"
1,10,30,epen mme gape e biritie ke batho go bona gore ana mogotlholokwa kobed monten kapagatwaonne tlanako e go tlhopaga gore dipatitiso dioketie diotie ke batho babandiphata go tlhopagadi diklghapiso pe lite go tswa moma afikha borwa ba ba tlhatigileleba ttiganggonne e o ka kgona go bona ga o ba tla go kanelayone dipatisipote o ka ya ko kofkat dot onlinec,"1. e
2. pen mme gape e biritie
3. ke batho go bona gore ana mogotlholokwa kobed monten kapagatwaonne tlanako e go tlhopaga gore dipatitiso dioke
4. tie diotie ke batho babandiphata go tlhopagadi diklghapiso pe lite go tswa moma afikha borwa ba ba tlhatigile
5. leba ttiganggonne e o ka kgona go bona ga o ba tla go kanelayone dipatisipote o ka ya ko kofkat do
6. t onlinec","1. Yes
2. a pen and a pencil
3. It is the people who see that the deceased is in need of a lot of money.
4. Tie Diotie are people who choose to compete when they come from South Africa to promote them.
5. Look at the ttiganggonne you can see when you come to apply for passports and you can go to Kofkat
6. t onlinec"
